Index 	On or around	Voluntary Dismissal	Litigation Name	Ticker	Filing Date	Docket	Class Start Date	Class End Date	SIC Code	Sector	Industry	Headquarter	Jurisdiction	Circuit	Court	Judge	Exchange	Market Status	Case Status	Settlement Amount
100982			"ABS Industries, Inc."	ABSI	01/19/1996	96-CV-109	03/17/1993	01/10/1996	3460	Basic Materials	Metal Mining	United States	United States	6th	N.D. Ohio	"Hon. Solomon Oliver, Jr."	NASDAQ	Public (Listed)	CASE SETTLED	0
100927			"Donaldson, Lufkin & Jenrette Securities Corporation : Rickel Home Centers Notes"		01/26/1996	96-CV-0583	10/28/1994	12/15/1995	6719	Financial	Misc. Financial Services	United States	United States	2nd	S.D. New York	Hon. Barbara S. Jones	Privately Traded	Privately Held	CASE SETTLED	3000000
100774			Touchstone Software Corporation	TSSW	01/26/1996	96-CV-00081	05/02/1995	12/21/1995	7372	Technology	Software & Programming	United States	United States	9th	C.D. California	Hon. Gary L. Taylor	NASDAQ	Public (Listed)	CASE SETTLED	500000
100248			"Cephalon, Inc."	CEPH	01/29/1996	96-CV-0633	06/01/1995	01/19/1996	8731	Healthcare	Biotechnology & Drugs	United States	United States	3rd	E.D. Pennsylvania	Hon. Clifford Scott Green	NASDAQ	Public (Listed)	CASE SETTLED	17000000
101112			"Silicon Graphics, Inc."	SGI	01/29/1996	96-CV-00393	10/19/1995	12/29/1995	3571	Technology	Computer Hardware	United States	United States	9th	N.D. California	Hon. Fern M. Smith	New York SE	Public (Listed)	CASE DISMISSED	0
101081			Mustang Development Corporation		02/01/1996	96-CV-00720	01/01/1987	03/31/1995		Energy	Oil & Gas Operations	United States	United States	9th	C.D. California	Hon. John G. Davies	Privately Traded	Privately Held	CASE SETTLED	102131377.3
100594			"NuMed Home Health Care, Inc."	NUMD	02/01/1996	96-CV-00200	02/08/1995	06/28/1995	8082	Healthcare	Healthcare Facilities	United States	United States	11th	M.D. Florida	Hon. Ralph W. Nimmons Jr.	NASDAQ	Public (Listed)	CASE DISMISSED	0
100250			Chantal Pharmaceutical Corporation	CHTL	02/07/1996	96-CV-0872 	07/10/1995	01/05/1996	2834	Healthcare	Biotechnology & Drugs	United States	United States	9th	C.D. California	Hon. George H. King	NASDAQ	Public (Listed)	CASE SETTLED	40000
100988			"Firefox Communications, Inc."	FFOX	02/23/1996	96-CV-20136	08/03/1995	01/02/1996	7372	Technology	Software & Programming	United States	United States	9th	N.D. California	Hon. Spencer Williams	NASDAQ	Public (Listed)	CASE DISMISSED	0
100833			"Health Management, Inc. I"	HMIS	02/29/1996	96-CV-0889	06/15/1995	02/27/1996	5912	Services	Retail (Drugs)	United States	United States	2nd	E.D. New York	Hon. Arthur D. Spatt	NASDAQ	Public (Listed)	CASE SETTLED	4550000
101060			Alliance Semiconductor Corporation	ALSC	03/04/1996	96-CV-00815	07/11/1995	12/29/1995	3674	Technology	Semiconductors	United States	United States	9th	N.D. California	Hon. Marilyn Hall Patel	NASDAQ	Public (Listed)	CASE DISMISSED	0
100148			"FTP Software, Inc."	FTPS	03/14/1996	96-CV-10544	07/14/1995	01/03/1996	7372	Technology	Software & Programming	United States	United States	1st	D. Massachusetts	Hon. Joseph L. Tauro	NASDAQ	Public (Listed)	CASE DISMISSED	0
100022			"Pinnacle Micro, Inc."	PNCL	03/15/1996	96-CV-00261	05/22/1995	02/19/1996	3572	Technology	Computer Storage Devices	United States	United States	9th	C.D. California	Hon. Gary L. Taylor	NASDAQ	Public (Listed)	CASE SETTLED	2325000
101288			New York Life Insurance Company	D.NZG	03/18/1996	96-CV-00746	01/01/1985	03/19/1996	6311	Financial	Insurance (Life)	United States	United States	11th	S.D. Florida	Hon. Lenore C. Nesbitt	Privately Traded	Privately Held	CASE SETTLED	90000000
101235			"Bollinger Industries, Inc."	BOLL	03/22/1996	96-CV-00823	06/29/1994	06/26/1995	3949	Consumer Cyclical	Recreational Products	United States	United States	5th	N.D. Texas	Hon. Consuelo B. Marshall	NASDAQ	Public (Listed)	CASE SETTLED	600000
100475			NationsBank Corporation : Dean Witter U.S. Government Securities Trust		03/26/1996	96-CV-593	03/26/1993	11/15/1994	6141	Financial	Investment Services	United States	United States	11th	M.D. Florida	Hon. Steven D. Merryday	Privately Traded	Privately Held	CASE SETTLED	26000000
103661			"Fleming Companies, Inc. : Common Stock"	FLM	03/28/1996	96-CV-00480	12/08/1994	03/15/1996	5140	Services	Retail (Grocery)	United States	United States	10th	W.D. Oklahoma	Hon. Vicki Miles-LaGrange	New York SE	Public (Listed)	CASE DISMISSED	0
100758			"Wellcare Management Group, Inc."	WELL	03/29/1996	96-CV-0521	08/02/1994	03/18/1996	6324	Financial	Insurance (Accident & Health)	United States	United States	2nd	N.D. New York	Magistrate Judge David R. Homer	NASDAQ	Public (Listed)	CASE SETTLED	2500000
100843			Horizon/CMS Healthcare Corporation	HHC	04/02/1996	96-CV-0442	07/06/1995	03/01/1996	8051	Healthcare	Healthcare Facilities	United States	United States	10th	D. New Mexico	Hon. Bruce D. Black	New York SE	Public (Listed)	CASE SETTLED	20000000
100517			"Novell, Inc."	NOVL	04/02/1996	96-CV-0303	02/12/1996	04/02/1996	7373	Technology	Computer Networks	United States	United States	10th	D. Utah	Hon. Bruce S. Jenkins	NASDAQ	Public (Listed)	CASE DISMISSED	0
101308			"SyQuest Technology, Inc."	SYQT	04/02/1996	96-CV-1224	10/21/1994	02/01/1996	3572	Technology	Computer Storage Devices	United States	United States	9th	N.D. California	Hon. Vaughn R. Walker	NASDAQ	Public (Listed)	CASE DISMISSED	0
100139			"Fleming Companies, Inc. : 10 5/8% Fixed Rate and Floating Rate Senior Notes due December 15, 2001"		04/04/1996	96-CV-506	12/08/1994	03/15/1996	5140	Services	Retail (Grocery)	United States	United States	10th	W.D. Oklahoma	Hon. Vicki Miles-LaGrange			CASE SETTLED	2500000
101179			"Bennett Funding Group, Inc. : Notes, Bonds, Units, Lease Assignments, and Other Securities"		04/11/1996	96-CV-2583	01/01/1990	03/28/1996		Financial	Misc. Financial Services	United States	United States	2nd	S.D. New York	Hon. John E. Sprizzo	Privately Traded	Privately Held	CASE SETTLED	139135000
100010			"Network Computing Devices, Inc."	NCDI	04/11/1996	96-CV-01345	02/01/1996	03/21/1996	3575	Technology	Computer Hardware	United States	United States	9th	N.D. California	Hon. Charles A. Legge	NASDAQ	Public (Listed)	CASE SETTLED	12000000
100016			"Northstar Health Services, Inc."	NSTR	04/15/1996	96-CV-701	03/17/1994	03/26/1996	8099	Healthcare	Healthcare Facilities	United States	United States	3rd	W.D. Pennsylvania	Hon. Donald E. Ziegler	NASDAQ	Public (Listed)	CASE SETTLED	6450000
100285			"BT Office Products International, Inc."	BTF	04/16/1996	96-CV-2685	01/30/1996	03/28/1996	5110	Consumer Non-Cyclical	Office Supplies	United States	United States	2nd	S.D. New York	Hon. Deborah A. Batts	New York SE	Public (Listed)	CASE SETTLED	1480000
100755			"VISTA 2000, Inc."	VISTE	04/16/1996	96-CV-00906	10/02/1995	03/25/1996	3420	Consumer Cyclical	Appliance & Tool	United States	United States	11th	N.D. Georgia	Hon. Frank M. Hull	NASDAQ	Public (Listed)	CASE SETTLED	300000
100008			Midcom Communications Inc.	MCCI	04/19/1996	96-CV-0614	07/06/1995	03/04/1996	4813	Technology	Communications Equipment	United States	United States	9th	W.D. Washington	Hon. Carolyn R. Dimmick	NASDAQ	Public (Listed)	CASE SETTLED	1000000
101156			AnnTaylor Stores Corporation	ANN	04/25/1996	96-CV-3073	02/03/1994	05/04/1995	5621	Services	Retail (Apparel)	United States	United States	2nd	S.D. New York	Hon. Allen G. Schwartz	New York SE	Public (Listed)	CASE SETTLED	10000000
101046			"Computron Software, Inc."	CFW	04/25/1996	96-CV-1911	08/24/1995	02/20/1996	7372	Technology	Software & Programming	United States	United States	3rd	D. New Jersey	"Hon. Alfred J. Lechner, Jr."	NASDAQ	Public (Listed)	CASE SETTLED	15000000
100819			Eagle Finance Corporation	EFCW	04/25/1996	96-CV-2455	05/12/1995	04/15/1996	6141	Financial	Misc. Financial Services	United States	United States	7th	N.D. Illinois	Hon. James B. Moran	NASDAQ	Public (Listed)	CASE SETTLED	262500
101203			"Biocontrol Technology, Inc."	BICO	04/30/1996	96-CV-809	04/25/1995	02/02/1996	3845	Healthcare	Medical Equipment & Supplies	United States	United States	3rd	W.D. Pennsylvania	Hon. Robert J. Cindrich	NASDAQ	Public (Listed)	CASE SETTLED	3700000
101024			Cellstar Corporation	CLST	05/14/1996	96-CV-1353	06/27/1995	04/11/1996	5065	Technology	Electronic Instruments & Controls	United States	United States	5th	N.D. Texas	Hon. Barefoot Sanders	NASDAQ	Public (Listed)	CASE SETTLED	6800000
